,Location,Title,Price,Company,Summary,Salary_category
12,"Columbia, SC 29223",Statistician III,40759,State of South Carolina,"A bachelor's degree in mathematics or statistics, and relevant program experience. Performs detailed statistical analysis and research on traffic records data…",Low
13,"Pittsburgh, PA",Statistical Data Analyst,61542,The University of Pittsburgh," A combination of relevant experience, including academic internships, and education may be substituted for a masters degree.",LowMid
14,"Pittsburgh, PA",Data Science Programmer,61542,The University of Pittsburgh, The Osmanbeyoglu lab is looking for a Data Science Programmer (DSP) to work on cutting-edge and clinically relevant problems in cancer biology using genome-wide…,LowMid
15,"Plymouth Meeting, PA",Chief Data Officer,225000,Pplumm," Creating value through data exploitation, providing the platform for data mining, machine learning and artificial intelligence techniques.",High
16,"Philadelphia, PA 19102 (City Center West area)",Senior Data Scientist,150000,Catalyst, Our marque client is seeking a talented data science lead who will be responsible for researching and identifying Machine Learning (ML) and NaturalLanguage…,High
17,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip," Competitive salary, based on the experience.Lead and execute POC efforts and ensure total customer satisfaction.Knowledge of security technologies is a plus.",LowMid
18,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip," Competitive salary, based on the experience.5-7 years of relevant experience in supporting SaaS / Enterprise software sales*.",LowMid
19,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip,"Competitive salary, based on the experience. 5-7 years of relevant experience in supporting SaaS / Enterprise software sales*. Then we want to hear from you!",LowMid
20,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip," Competitive salary, based on the experience.5-7 years of relevant experience in supporting SaaS / Enterprise software sales.Then we want to hear from you!",LowMid
21,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip," Competitive salary, based on the experience.5-7 years of relevant experience in supporting SaaS / Enterprise software sales*.Then we want to hear from you!",LowMid
22,"Philadelphia, PA",Sales Engineer - Data Privacy,85000,Clarip,"Competitive salary, based on the experience. 5-7 years of relevant experience in supporting SaaS / Enterprise software sales*.",LowMid
23,"Tempe, AZ",Data Analyst Sr,55448,Arizona State University," Experience preparing and executing project plans, requirements, and testing documentation.Activities are performed in an environmentally controlled office…",LowMid
24,"Tempe, AZ",Data Architect,150000,Arizona State University," Develops an analytics data ecosystem in an immature data environment, and develops ongoing, incremental data architecture strategies that facilitate migration…",High
25,"Tempe, AZ",Data Architect,150000,Arizona State University,"Develops an analytics data ecosystem in an immature data environment, and develops ongoing, incremental data architecture strategies that facilitate migration…",High
26,"Maricopa County, AZ",HRIS Data Analyst Senior,88847,Maricopa Community Colleges,"Performs data mining in the system to find trends. Test objectives, test cases, test data and test scripts) for executing unit, integration, system and/or…",HighMid
27,"Phoenix, AZ",Supervisory Operations Research Analyst (Data Science),124642,US Department of the Army," Appointment may be subject to a suitability or fitness determination, as determined by a completed background investigation.Direct Deposit of Pay is required.",High
28,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries, Very long-term employment in highly advanced scientific mathematics in Multi-Dimensional Quantum Field Physics.This could be a life-long position.,LowMid
29,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries,Must already have experience in advanced mathematics in Quantum Field Physics. Will be a co-teacher accompanying the quantum field physicist at a hundred or…,LowMid
30,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries, Will be a co-teacher accompanying the quantum field physicist at a hundred or more universities as a visiting math professor in Multi-Dimensional Quantum Field…,LowMid
31,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries, Must already have experience in advanced mathematics in Quantum Field Physics.Will be a co-teacher accompanying the quantum field physicist at a hundred or…,LowMid
32,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries,Very long-term employment in highly advanced scientific mathematics in Multi-Dimensional Quantum Field Physics. What date could you be available to start?,LowMid
33,"Tempe, AZ 85282 (Cyprus Southwest area)",Ph.D. Level Mathematician (M/F),80000,AWD Industries, Very long-term employment in highly advanced scientific mathematics in Multi-Dimensional Quantum Field Physics.What date could you be available to start?,LowMid
34,"San Francisco, CA 94107 (South Of Market area)",Data Scientist (Jr. to Sr. Level),170000,Piper Companies, Please send resumes to Jason Olsavsky at jolsavsky@zacharypiper.com.Creating dashboards for data visualization.At least 3 years if Data Science experience.,High
35,"Palo Alto, CA",Data Scientist,117500,Spry Health, You’ll get the opportunity to design and execute experiments with medical grade reference devices both in-house and with high profile clinical partners around…,High
36,"Los Angeles, CA",Data Scientist,90000,AvantStay," Ability to apply mathematical operations to such tasks as cluster analytics, sampling theory and design of experiments, analysis of variance, correlation…",HighMid
37,"San Jose, CA",Data Scientist,115000,Architecture Technology Corporation (ATCorp)," As someone who is passionate about machine learning and data driven techniques, for real world applications, you will have the initiative and drive to develop…",High
38,"San Francisco, CA",Data Scientist,275000,Blue Owl, Demonstrable expertise building and supporting machine learning models deployed to production.You have built time series models using econometric approaches as…,High
39,"Los Angeles, CA",Data Scientist,90000,AvantStay,"Ability to apply mathematical operations to such tasks as cluster analytics, sampling theory and design of experiments, analysis of variance, correlation…",HighMid
40,"Edwards AFB, CA",Mathematical Statistics Series,96188,US Department of the Air Force,"Your experience included professional knowledge or mathematics principles and concepts, and familiarity with other scientific and engineering disciplines to…",HighMid
41,"Springfield, VA",Data Scientist,95949,National Geospatial-Intelligence Agency,"Other duties may include: \* Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for…",HighMid
42,"Richmond, VA 23219 (City Center area)",Decision Scientist,79900,Virginia Department of Transportation," Extensive experience in: working with different types of data sources, preferably databases; integration and cleansing of disparate or incomplete data sets;…",LowMid
43,"Richmond, VA 23219 (City Center area)",Decision Scientist,79900,Virginia Department of Transportation,"Demonstrated proficiency in common statistical programming languages or libraries such as SQL, Python, R, etc. Demonstrated proficiency in visualization tools…",LowMid
44,"Alexandria, VA",Statistician,106159,US Department of Defense,"Solves complex problems that have been either generated or submitted for formulation, analysis or solution and integrates the mathematical and statistical…",High
45,"Charlottesville, VA",Data Analyst/Senior Data Analyst,52500,The Rector & Visitors of the University of Virgini...,"CDT has pursued a path to advance the use of technology, including analytics, to allow improved management, monitoring, and therapies for patients with Type 1…",Low
46,"Alexandria, VA",Mathematical Statistician,80021,US Department of Defense,"Applying mathematical, statistical, or text analysis using software packages, communicating analysis results, and applying useful mathematical, statistical, or…",LowMid
47,"Reston, VA","Supervisory Statistical Assistant, GS-1531-11 (SRM-MP)",80021,US Department of the Interior," Performing well defined projects or project segments involving selecting, applying & adapting established statistical methods;Open to all U.S. citizens under:",LowMid
48,"Ivy, VA",School of Data Science Director of Development for the Data...,117500,The Rector & Visitors of the University of Virgini...," A compelling candidate will be highly strategic and have the skills to design, manage, and implement a multi-pronged fundraising plan.",High
49,"Alexandria, VA",Mathematical Statistician,80021,US Department of Defense," Applying mathematical, statistical, or text analysis using software packages, communicating analysis results, and applying useful mathematical, statistical, or…",LowMid
50,"Tysons, VA",Data Scientist,100000,MRP, 3+ years of software development or relevant experience.A Series B SaaS company in the cyber security realm is looking for a Senior Java Developer to join a…,HighMid
51,"Vienna, VA",Data Scientist,87000,Metronome LLC," Standard machine learning packages such as panda and sklearn;Common machine learning algorithms and problem domains to include feature engineering,…",HighMid
52,"Sterling, VA",Senior Data Scientist,106000,Discovery," Using big data platforms, data warehousing and business intelligence technology, audience data, advanced analytics, data science, visualization, and self…",High
53,"Tysons Corner, VA",Sr. Data Analyst,77500,Wisdom Group,"We are recruiting for a Business Data Analyst in Tysons Corner, Virginia. The SDA applies analytical and technical expertise to assist in defining, analyzing,…",LowMid
54,"Alexandria, VA 22314 (Southwest Quadrant area)",Principal AI and Machine Learning Scientist,175000,AEEC,"Deep understanding and experience of machine learning, and deep learning theory, algorithms, approaches and practice, including probabilistic and statistical…",High
55,"Reston, VA",Data Scientist - (Active) TS/SCI w/Poly,200000,Twinn Intelligence Group,"Programming languages (at least one) e.g., Linux, Python, R, SQL, Java, C++, Javascript, PHP. Statistics (at least one) e.g., Inference, Machine Learning,…",High
56,"Reston, VA",Cleared Data Scientist,175000,Leading Path Consulting,"1.Programming languages (at least one): e.g., Linux, Python, R, SQL, Java, C++, Javascript, PHP. Statistics (at least one): e.g., Inference, Machine Learning,…",High
57,"Reston, VA",Senior Machine Learning Engineer,190000,Gridiron IT,"Our team is growing and we are looking for a new team member to build a machine learning solution together with a highly multi-disciplinary team of engineers,…",High
58,"McLean, VA",3D Computer Vision Engineer,105000,"Xyken, LLC"," We look for candidates with strong computer vision background (preferably related to 3D reconstruction, 3D modeling, or artificial intelligence or AI) to join…",HighMid
59,"McLean, VA",3D Computer Vision Engineer,105000,"Xyken, LLC",Computer vision: 3 years (Required). You must have a minimum 2 years of industrial or lab experience in this field. Check out our sample product videos:,HighMid
60,"Lansing, MI",Manager Claims Data Quality,81087,Farm Bureau Mutual Insurance Company of Michigan,To develop and manage strategic initiatives that will provide analytics which shed insight into all aspects of Claims Operations.,LowMid
61,"Gahanna, OH",Data Scientist,85000,Kognetics,"Excellent knowledge of at least twocoding languages, e.g. Python, Java, Scala, R Language, SQL, ETL Tools, Perland Pig; Being able to work autonomously;",LowMid
62,"Cleveland, OH","AST, Data Systems",89331,US National Aeronautics and Space Administration,"A bachelor's degree from an accredited college or university with major study in Aeronautical Engineering, Aeronautics, Aerospace Engineering, Architecture,…",HighMid
63,"Cleveland, OH","AST, Data Systems",89331,US National Aeronautics and Space Administration,"Designs or directs the development of signal processing waveforms, machine learning, and artificial intelligence technology applications involving state-of-the…",HighMid
64,"Cleveland, OH","AST, Data Systems",89331,US National Aeronautics and Space Administration," Designs or directs the development of signal processing waveforms, machine learning, and artificial intelligence technology applications involving state-of-the…",HighMid
65,"Columbus, OH 43210 (Olentangy River Road area)",Research Statistician,60000,Ohio State University Medical Center, Proficiency with statistical software (especially SAS and/or R) required;Research Statistician (Job Opening 451967) - Research Statistician consults and…,LowMid
66,"Cincinnati, OH",Data Scientist,95000,Golden Resource Solutions,"Current tools and technologies include SAS, R, SQL, Tableau, and Python or matching learning techniques; Extensive experience with Project planning.",HighMid
67,"Mason, OH",Data Scientist,105000,Clarigent Health,"Mason, Ohio based Clarigent Health is using artificial intelligence and machine learning to study a person’s language and speech patterns to detect warning…",HighMid
68,"Anchorage, AK",Statistician,114368,US Department of Energy,"For paid work experience, please indicate your starting salary for each position and the highest salary you earned (if different). 3327 and 3330 and 5 CFR 330.",High
69,"Anchorage, AK",Mathematical Statistician,114368,US Department of Energy," For paid work experience, please indicate your starting salary for each position and the highest salary you earned (if different).3327 and 3330 and 5 CFR 330.",High
70,"Anchorage, AK",Statistician,114368,US Department of Energy," Your resume should also include any education and training you have completed (list the program title, subject area, number of hours completed, and completion…",High
71,"Anchorage, AK",Statistician,114368,US Department of Energy,"This series covers positions that manage, supervise, lead, or perform scientific work or provide professional consultation in applying statistical theories,…",High
72,"Anchorage, AK",Mathematical Statistician,114368,US Department of Energy,"Your resume should also include any education and training you have completed (list the program title, subject area, number of hours completed, and completion…",High
73,"Anchorage, AK",Statistician,114368,US Department of Energy,"Your resume should also include any education and training you have completed (list the program title, subject area, number of hours completed, and completion…",High
74,"Anchorage, AK",Mathematical Statistician,114368,US Department of Energy,"For paid work experience, please indicate your starting salary for each position and the highest salary you earned (if different). 3327 and 3330 and 5 CFR 330.",High
75,"Anchorage, AK",Statistician,114368,US Department of Energy," This series covers positions that manage, supervise, lead, or perform scientific work or provide professional consultation in applying statistical theories,…",High
76,"Anchorage, AK",Mathematical Statistician,114368,US Department of Energy," Your resume should also include any education and training you have completed (list the program title, subject area, number of hours completed, and completion…",High
77,"Galveston, TX 77550",Clinical Data Scientist,101231,UTMB, Five years of clinical analytics experience in a healthcare or hospital environment.Support the rest of the Clinical Data and Analytics Team in understanding…,HighMid
78,"Austin, TX 78703",Senior Data Scientist - Sports,125000,Zelus Analytics," At least five years of experience in applied mathematical and predictive modeling (statistics, machine learning, optimization, and/or simulation).",High
79,"Austin, TX 78703",Senior Data Scientist - Sports,125000,Zelus Analytics,"At least five years of experience in applied mathematical and predictive modeling (statistics, machine learning, optimization, and/or simulation).",High
80,"Austin, TX 78731","Senior Data Scientist, Product - Resume Search",146000,Indeed,"Use quantitative analysis, data mining, and machine learning techniques to understand how hundreds of millions of jobseekers and employers are interacting on…",High
81,"Austin, TX 78701 (Downtown area)",Director of Research and Statistics,135000,"Far Harbor, LLC","The Director also mentors and manages scientific staff, directs analyses of population health surveys, oversees data preparation and quality checking, develops…",High
82,"Salt Lake City, UT",Data Scientist,93450,University of Utah,Generate modeling and use insights to find data anomalies and identify trends and other recommended metrics to university leadership.,HighMid
83,"Salt Lake City, UT",Quantitative Data Scientist,102974,University of Utah,"Identifies trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of techniques, ranging from simple…",HighMid
84,"Salt Lake City, UT",Healthcare Data Scientist,102974,University of Utah,Generate modeling and use insights to drive change with teams across the health system teams. Independently construct and lead teams through multiple project…,HighMid
85,"Salt Lake City, UT",Data Science Post Doctoral Fellow (E),48500,University of Utah,"Interested applicants should send a personal statement, CV, and names of 3 references to: Interested applicants should send a personal statement, CV, and names…",Low
86,"Salt Lake City, UT",NLP Programmer Sr.,81174,University of Utah,"Performing data preparation and analysis as well as management of complex clinical data sources. Clinical NLP experience (e.g., UIMA, MetaMap, or cTAKES).",LowMid
87,"Fort Meade, MD",Data Scientist,125762,National Security Agency,"Use data mining tools and/or machine learning tools to search for data identification, characteristics, trends, or anomalies.",High
88,"Rockville, MD",Data Science and Analytics Research Fellowship,88421,,"As a Research Participant in the NIAID Data Analytics and Research Branch (DARB), the participant will receive training and hands-on-experience in applying and…",HighMid
89,"Baltimore, MD 21218 (Midway-Coldstream area)",Sr. Research Data Analyst,62352,Johns Hopkins University,"During the Influenza (""the flu"") season, as a condition of employment, The Johns Hopkins Institutions require all employees who provide ongoing services to…",LowMid
90,"Baltimore, MD 21205 (Orangeville area)",Sr. Education Intelligence Data Analyst,70357,Johns Hopkins University, Ensures that the use of business intelligence applications enhances clinical & business decision-making capabilities.Personnel area: School of Medicine.,LowMid
91,"Woodlawn, MD",Statistician (Health),60887,US Department of Health And Human Services,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS), Center for Program Integrity(CPI),…",LowMid
92,"Fort Meade, MD",Mathematical Statistician,79193,National Security Agency," Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience, or a Doctoral degree and no…",LowMid
93,"Suitland, MD","Supervisory Mathematical Statistician, GS-1529-14, Census-CT...",134771,US Department of Commerce," Ability to lead and manage the development and implementation of survey and statistical methodology for production, research, and evaluation programs.",High
94,"Baltimore, MD 21205 (Orangeville area)",Sr. Education Intelligence Data Analyst,70357,Johns Hopkins University,"A certification such as Certified Analytics Professional, project management, or a certification in a data analytic tool such as Tableau Software, or Epic…",LowMid
95,"Baltimore, MD 21218 (Midway-Coldstream area)",Sr. Research Data Analyst (Project Director for the Cochrane...,61736,Johns Hopkins University," The Project Director, working closely with the Principal Investigator, will be responsible for the day-to-day coordination and implementation of the project as…",LowMid
96,"Gaithersburg, MD",Operations Research Analyst OR Mathematician OR Computer Sci...,110966,US Department of Commerce,Or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of…,High
97,"Gaithersburg, MD",Operations Research Analyst OR Mathematician OR Computer Sci...,110966,US Department of Commerce, Or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of…,High
98,"Hanover, MD 21076",Data Scientist - CI Poly,130000,"SixGen, Inc.","Full health benefits - Medical, Vision, Dental. Able to collect, clean, manage, and present large volumes of data. Proficient in R/RStudio and/or Python.",High
99,"Baltimore, MD",Technology Consultant - Data Modeler,124000,"BlueStream Consulting, LLC",Provide guidance in developing high-level design requirements for project and communicate in writing or in meetings with project team.,High
100,"Baltimore, MD",Technology Consultant - Data Scientist,121500,"BlueStream Consulting, LLC",Minimum of 2 years of experience applying data analytics and machine learning concepts and methodologies. Deep neural networks including convolutional networks…,High
101,"Columbia, MD",Senior Machine Learning Engineer,150000,"Rekor Recognition Systems, Inc.", The Senior Machine Learning Engineer isresponsible for designing and applying new machine learning techniques for acomputer vision application.,High
102,"Columbia, MD",Senior Machine Learning Engineer,150000,"Rekor Recognition Systems, Inc.",The Senior Machine Learning Engineer isresponsible for designing and applying new machine learning techniques for acomputer vision application.,High
103,"St. Louis, MO",Data Scientist,95949,National Geospatial-Intelligence Agency," Other duties may include: \* Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for…",HighMid
104,"St. Louis, MO",Data Scientist,95949,US Department of Defense," Other duties may include: * Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for…",HighMid
105,"St. Louis, MO",Statistical Data Analyst - Infectious Diseases,54590,Washington University in St. Louis,Current employees applying for a new position within the university may be subject to this requirement. Master’s degree in epidemiology or public health.,Low
106,"St. Louis, MO 63130",Statistical Data Analyst - Biostatistics,54590,Washington University in St. Louis,"Current employees applying for a new position within the university may be subject to this requirement. Assists investigators in the design of experiments,…",Low
107,"St. Louis, MO 63130",Statistical Data Analyst - Neurology,54590,Washington University in St. Louis,Current employees applying for a new position within the university may be subject to this requirement. This statistics position will assist with projects…,Low
108,"St. Louis, MO 63130",Statistical Data Analyst - Biostatistics,54590,Washington University in St. Louis," Current employees applying for a new position within the university may be subject to this requirement.Assists investigators in the design of experiments,…",Low
109,"St. Louis, MO 63130",Senior Statistical Data Analyst - Cardiology,64937,Washington University in St. Louis," Master’s degree and four years of related work experience in health services research, public health, computer science, biostatistics, informatics, or related…",LowMid
110,"St. Louis, MO 63130",Statistical Data Analyst - Neurology,54590,Washington University in St. Louis, Current employees applying for a new position within the university may be subject to this requirement.This statistics position will assist with projects…,Low
111,"St. Louis, MO",Sr. Data Analyst Engineer,125000,TKC holdings," Mentor and train on the appropriate usage of data marts, enterprise data warehouse and other data sources used in reporting and analytics, including reporting…",High
112,"St. Louis, MO",Data Analyst I - Data Entry,35000,Juristat, Being receptive to other relevant team-related responsibilities.The people who make up our Data team focus their skills and efforts on acquiring and analyzing…,Low
113,"St. Louis, MO",Sr. Data Analyst Engineer,125000,TKC holdings,"Creating and executing test plans for ETL and data integration solutions. Mentor and train on the appropriate usage of data marts, enterprise data warehouse and…",High
114,"St. Louis, MO",Sr. Data Analyst Engineer,125000,TKC holdings,"Interpret data for the purpose of determining organizational/program performance, trends and/or probability. Creating and executing test plans for ETL and data…",High
115,"St. Louis, MO",Data Analyst I - Data Entry,35000,Juristat,Being receptive to other relevant team-related responsibilities. The people who make up our Data team focus their skills and efforts on acquiring and analyzing…,Low
116,"St. Louis, MO",Sr. Data Analyst Engineer,125000,TKC holdings,"Mentor and train on the appropriate usage of data marts, enterprise data warehouse and other data sources used in reporting and analytics, including reporting…",High
117,"St. Louis, MO",Sr. Data Analyst Engineer,125000,TKC holdings," Creating and executing test plans for ETL and data integration solutions.Mentor and train on the appropriate usage of data marts, enterprise data warehouse and…",High
118,"Chapel Hill, NC",Data Scientist,107500,The Recycling Partnership," The Data Scientist must have strong skills in working with public machine learning APIs, including those available from Azure, Apple and Google Cloud; ability…",High
119,"Raleigh, NC",Data Scientist,110000,Cox Little & Company," Strong programming skills, including Hadoop MapReduce or other big data frameworks, Java, statistical modeling (like SAS or R), SQL and depending on the scope…",High
120,"Charlotte, NC 28262 (University City North area)",Machine/Deep Learning Research Scientist,70000,UNC Charlotte," Deep understanding of machine learning and deep learning techniques.Is machine methods based on information theory and Bayesian networks, and deep learning…",LowMid
121,"Birmingham, AL 35244",Artificial Intelligence / Machine Learning Software Engineer...,125500,Fetch," BCBS Health, Dental, & Vision Insurance with generous employer funding for employees and dependents.Health Savings Account with generous employer funding.",High
122,"Birmingham, AL 35244",Artificial Intelligence / Machine Learning Software Engineer...,125500,Fetch,"Create project milestones, deliverables and timelines for implementation. Arrange project/milestone in programming sequence. The things you'll do:",High
123,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center," Under minimal supervision from lead statistician and/or faculty, act as a primary consultant to researchers from the Child Health Research Institute, and others…",LowMid
124,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations, Experience developing machine learning applications using current machine learning frameworks.Exceptional communication skills with the ability to deliver…,HighMid
125,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Excellent pay, Positive work culture, Flexible work hours, Prestigious training in artificial intelligence/machine learning platform & exclusive DoD pipeline.",HighMid
126,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Plus: Experience with machine learning, AI, and/or business intelligence tools.Excellent pay, Positive work culture, Flexible work hours, Prestigious training…",HighMid
127,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center,"Under minimal supervision from lead statistician and/or faculty, act as a primary consultant to researchers from the Child Health Research Institute, and others…",LowMid
128,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations,"Experience developing machine learning applications using current machine learning frameworks. Health, Dental, Vision, 401k, Life Insurance, Disability,…",HighMid
129,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"At Kana Systems, we specialize in offering innovative technology solutions for military and government customers in the realm of data analytics, business…",HighMid
130,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Excellent pay, Positive work culture, Flexible work hours, Prestigious training in artificial intelligence/machine learning platform & exclusive DoD pipeline.",HighMid
131,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations,"Health, Dental, Vision, 401k, Life Insurance, Disability, Wellness, Paid Time Off, Training, and even bring your dog to work!",HighMid
132,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations,"We will consider all qualified applicants without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual…",HighMid
133,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Experience with machine learning, AI, and/or business intelligence tools. Excellent pay, Positive work culture, Flexible work hours, Prestigious training in…",HighMid
134,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Plus: Experience with machine learning, AI, and/or business intelligence tools.Deliver insights and visualizations from disparate data sources.",HighMid
135,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center, Department COPH Biostatistics 50005426 Business Unit College of Public Health Reg-Temp Full-Time Regular Work Schedule Mon - Fri 8:00 am - 4:30 pm Position…,LowMid
136,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Experience with machine learning, AI, and/or business intelligence tools.Excellent pay, Positive work culture, Flexible work hours, Prestigious training in…",HighMid
137,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Plus: Experience with machine learning, AI, and/or business intelligence tools. Deliver insights and visualizations from disparate data sources.",HighMid
138,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center,Department COPH Biostatistics 50005426 Business Unit College of Public Health Reg-Temp Full-Time Regular Work Schedule Mon - Fri 8:00 am - 4:30 pm Position…,LowMid
139,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Plus: Experience with machine learning, AI, and/or business intelligence tools. Excellent pay, Positive work culture, Flexible work hours, Prestigious training…",HighMid
140,"Omaha, NE",Data & Software Engineer,105000,Kana Systems, We have an extraordinary opportunity for select people.Join our team working with military and government customers solving mission-critical challenges for the…,HighMid
141,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center,Posting Category Research - Non Academic Working Title Statistician II Job Title Research/Ag Specialist Salary Grade RA24S Appointment Type B1 - REG MGR PROF…,LowMid
142,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Experience with machine learning, AI, and/or business intelligence tools. At Kana Systems, we specialize in offering innovative technology solutions for…",HighMid
143,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Experience with machine learning, AI, and/or business intelligence tools.At Kana Systems, we specialize in offering innovative technology solutions for…",HighMid
144,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations,Experience developing machine learning applications using current machine learning frameworks. Experience deploying machine learning algorithms on a cloud…,HighMid
145,"Omaha, NE",Data & Software Engineer,105000,Kana Systems,"Experience with machine learning, AI, and/or business intelligence tools. Deliver insights and visualizations from disparate data sources.",HighMid
146,"Omaha, NE",Statistician II,76750,University of Nebraska Medical Center, Posting Category Research - Non Academic Working Title Statistician II Job Title Research/Ag Specialist Salary Grade RA24S Appointment Type B1 - REG MGR PROF…,LowMid
147,"Omaha, NE",Sr. Data Scientist,100000,Red Berry Innovations, Experience developing machine learning applications using current machine learning frameworks.Experience deploying machine learning algorithms on a cloud…,HighMid
148,"Omaha, NE",Data & Software Engineer,105000,Kana Systems," Experience with machine learning, AI, and/or business intelligence tools.Deliver insights and visualizations from disparate data sources.",HighMid
149,"Golden Valley, MN",Sr. Enterprise Architect (Data),150000,(QSI) - Quality Systems Integrators,"10 years or more of progressive experience in data modeling, integration and visualization, participation in solution architecture.",High
150,"Golden Valley, MN",Sr. Enterprise Architect (Data),150000,(QSI) - Quality Systems Integrators," The EDA will work with solution architects, application developers, process owners, data stewards, data scientists, platform administrators, security engineers…",High
151,"Golden Valley, MN",Sr. Enterprise Architect (Data),150000,(QSI) - Quality Systems Integrators,"The EDA will work with solution architects, application developers, process owners, data stewards, data scientists, platform administrators, security engineers…",High
152,"Manhattan, NY",Data Scientist,104015,New York City DEPT OF INFO TECH & TELECOMM,A baccalaureate degree from an accredited college including or supplemented by 24 credits in the field of voice and/or data telecommunications or in a pertinent…,HighMid
