,Location,Title,Price,Company,Summary
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Being able to work autonomously;"
8,"Alpharetta, GA",Data Scientists – Machine Learning,"
$60 - $70 an hour","
Brielle Technologies","
As a Senior Big Data Engineer on our Digital Analytics team, you will work on new technologies and find ways to meet our customers’ needs and make it easy for…"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
 Since 1989 New Visions for Public Schools has served as a laboratory of innovation within NYC's public schools, ensuring students have access to a high-quality…"
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
 Since 1989 New Visions for Public Schools has served as a laboratory of innovation within NYC's public schools, ensuring students have access to a high-quality…"
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
 The New Visions network currently supports over 200,000 students across more than 400 district and charter schools across the city."
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
 We pioneered the small high schools model creating ~150 new public high schools across NYC, produce free open-source curriculum used by thousands of teachers in…"
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Being able to develop or program databases;"
6,"Palo Alto, CA",Data Scientist - Natural Language Processing,"
$90,000 - $150,000 a year","

Change Research","
 You've been calling your member of Congress and pleaded with your friends to do the same, even though deep down you're not sure it makes that much of a…"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
Since 1989 New Visions for Public Schools has served as a laboratory of innovation within NYC's public schools, ensuring students have access to a high-quality…"
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
Working closely with the technology and learning teams, theData Scientist will be responsible for the following: Creating infrastructure for thedelivery team;"
0,"New York, NY",Computer Science & Data Analytics Residency,"
$18 - $30 an hour","
New Visions Central Office","
Since 1989 New Visions for Public Schools has served as a laboratory of innovation within NYC's public schools, ensuring students have access to a high-quality…"
8,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
Working closely with the technology and learning teams, theData Scientist will be responsible for the following: Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
9,"Atlanta, GA 30307",Lead Health Scientist (Data Scientist),"
$110,231 - $143,304 a year","

Centers for Disease Control and Prevention","
Department of Health And Human Services. Centers for Disease Control and Prevention. HHS-CDC-M2-20-10632001. $110231.00 to $143304.00/Per Year."
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Being able to work autonomously;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Being able to work autonomously;"
9,"Atlanta, GA 30307",Lead Health Scientist (Data Scientist),"
$110,231 - $143,304 a year","

Centers for Disease Control and Prevention","
Department of Health And Human Services. Centers for Disease Control and Prevention. The Centers for Disease Control and Prevention (CDC) is the agency…"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Being able to work autonomously;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Being able to work autonomously;"
1,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
Working closely with the technology and learning teams, theData Scientist will be responsible for the following: Creating infrastructure for thedelivery team;"
5,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Being able to work autonomously;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Creating infrastructure for thedelivery team; Maintain a working knowledge of data mining and visualizationbest practices; Work in coordination with the team…"
1,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Being able to work autonomously;"
5,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
 The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
1,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;"
5,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
 The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
 Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
1,"Gahanna, OH",Data Scientist,"
$85,000 a year","
Kognetics","
 Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;"
5,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
 The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Being able to work autonomously;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Being able to work autonomously;"
6,"Gahanna, OH",Senior Data Scientist,"
$101,000 a year","
Kognetics","
Working closely with the technology and learning teams, the DataScientist will be responsible for the following: Creating infrastructure for thedelivery team;"
9,"Norwell, MA 02061",Data Scientist,"
$80,000 - $125,000 a year","
Aborn & Co.","
 Aborn & Company is looking for a Data Scientist to join our Operations team to contribute to developing and expanding our institutional analytics capabilities."
9,"Norwell, MA 02061",Data Scientist,"
$80,000 - $125,000 a year","
Aborn & Co.","
 Aborn & Company is looking for a Data Scientist to join our Operations team to contribute to developing and expanding our institutional analytics capabilities."
9,"Norwell, MA 02061",Data Scientist,"
$80,000 - $125,000 a year","
Aborn & Co.","
Aborn & Company is looking for a Data Scientist to join our Operations team to contribute to developing and expanding our institutional analytics capabilities."
9,"Norwell, MA 02061",Data Scientist,"
$80,000 - $125,000 a year","
Aborn & Co.","
Aborn & Company is looking for a Data Scientist to join our Operations team to contribute to developing and expanding our institutional analytics capabilities."
0,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
7,"San Francisco, CA",Data Scientist,"
$200,000 - $350,000 a year","
Blue Owl","
A million people a year die in car collisions around the world and we want that number to be zero. We invite you to help us build an InsurTech company that uses…"
9,"Norwell, MA 02061",Data Scientist,"
$80,000 - $125,000 a year","
Aborn & Co.","
Aborn & Company is looking for a Data Scientist to join our Operations team to contribute to developing and expanding our institutional analytics capabilities."
0,"Manhattan, NY",Data Scientist,"
$63,031 - $145,000 a year","

New York City DEPT OF INFO TECH & TELECOMM","
The Mayor’s Office of the Chief Technology Officer (MOCTO) facilitates citywide coordination and collaboration on technology issues, serves as a catalyst for…"
7,"San Francisco, CA",Data Scientist,"
$200,000 - $350,000 a year","
Blue Owl","
A million people a year die in car collisions around the world and we want that number to be zero. We invite you to help us build an InsurTech company that uses…"
